sp,site,strata,SLA_LEAF,SLA_DISC,LIFETIME,Amass,Rmass,Amax,N_PCT,P_PCT,LT,LAMTUF,MDRBTUF,VEINTUF,LMA_LEAF,LMA,LL,Aarea,Aarea_DISC,Rarea,Rarea_DISC,sp_site_strata,Narea,Parea,LD,SampleID,Run,BagNo,%NPE,%WS,%AS,Lig,%Ash,%NDF,ADF,site2,cell_mass,cell_area,cell_vol
HAVF,PNSL,CAN,57.61182318,60.0114826,552.5,86.27370521,5.64307808,14.975,0.774,0.05365,0.455,0.5632,3.216225,NA,173.57548239284867,166.63477665855902,18.16438356164383,14.974999999644172,14.37619959917471,0.9794999999165104,0.9403330555276102,HAVF_PNSL_CAN,0.13434742337206487,0.00931232463037633,0.36623027837045935,NA,3,56,61.95,7.38,13.03,17.58,0.06,38.05,30.67,WET,13.090000000000003,21.812492264605385,0.04793954343869314
HEIS,PNSL,CAN,129.5667019,146.0168144,335,98.69743517,10.6698179,7.6175,1.863,0.09943,0.17,0.37515,5.754675,4.5745249999999995,77.18032375106709,68.4852634341542,11.013698630136986,7.617499999820556,6.759319847892807,0.8234999998869308,0.7307252896759541,HEIS_PNSL_CAN,0.14378694314823798,0.0076740395905686,0.4028544907891424,NA,3,58,69.88,15.43,8.39,6.21,0.09,30.12,14.69,WET,8.48,5.807550339216276,0.03416206081891927
LACP,PNSL,CAN,113.9312682,125.4043606,572,118.2891392,9.581619652,10.3825,1.152,0.06384,0.31875,0.717425,1.60095,NA,87.77221703918504,79.74204367499483,18.805479452054794,10.38249999924077,9.432617704363944,0.8409999996822646,0.7640579327669729,LACP_PNSL_CAN,0.10111359402914116,0.00560337833578157,0.2501711174117485,NA,3,59,50.28,18.14,9.1,22.45,0.03,49.72,31.58,WET,9.13,7.280448587527028,0.02284062301969263
LONL,PNSL,CAN,69.70933298,79.37248752,285,121.6427861,3.617914382,17.45,2.104,0.07998,0.24,0.515625,3.92375,5.07725,143.45281431496494,125.98823991096708,9.36986301369863,17.450000007158298,15.325560518605249,0.5190000000484871,0.4558146651367541,LONL_PNSL_CAN,0.30182472131868626,0.01147335608891089,0.5249509996290294,NA,3,61,59.05,13.46,14.2,13.12,0.16,40.95,27.49,WET,14.37,18.104510075205965,0.07543545864669153
LUE1,PNM,CAN,95.65074329,101.188022,186,147.8601073,34.29079147,15.45833333,1.763,0.1544,0.2275,0.680725,2.90895,3.354125,104.54701820435795,98.82592625439402,6.115068493150685,15.458333329591422,14.612412059996588,3.585000000055933,3.3888192290190235,LUE1_PNM_CAN,0.18431639309428305,0.01614205961075287,0.43439967584349015,NA,3,62,59.02,9.08,15.89,15.97,0.03,40.98,31.89,DRY,15.92,15.73308745969953,0.06915642839428364
LUE1,PNM,UNDER,235.9264255,393.3870841,180,88.8262992,2.637657437,3.765,2.257,0.22478,0.13,0.3014,3.2823,2.9852,42.38609549060455,25.42025502153491,5.917808219178082,3.7649999999682104,2.2579871782831624,0.11179999999618528,0.06704992470798815,LUE1_PNM_UNDER,0.09566541752229447,0.00952754654437809,0.19554042324257623,NA,3,63,56.13,10.13,16.84,16.74,0.17,43.87,33.74,DRY,17.000000000000004,4.321443353660936,0.03324187195123796
MANB,PNSL,CAN,56.3680725,67.0559825,427,79.90174277,3.988041129,14.175,1.307,0.07073,0.3875,1.06005,3.3737,NA,177.40539203287466,149.1291250560679,14.03835616438356,14.17500000022176,11.915676989745098,0.7074999999334731,0.5947330842553832,MANB_PNSL_CAN,0.23186884738696717,0.01254788337848522,0.384849354983401,NA,3,65,61.96,8.1,14.06,15.88,0,38.04,29.94,WET,14.06,20.967554982883147,0.05410981931066618
MARP,PNSL,CAN,106.9717521,124.945419,356.5,176.4231621,12.99171929,16.4925,1.422,0.09898,0.35,0.6535,3.9472,5.5051000000000005,93.4826232504048,80.03494709958113,11.72054794520548,16.4924999952394,14.120018445814328,1.214499999762087,1.0397915661077577,MARP_PNSL_CAN,0.13293229026207565,0.00925291004932506,0.2286712774273747,68 rerun,6,141,45.82,13.83,24.39,15.86,0.09,54.18,40.35,WET,24.49,19.60055854468742,0.05600159584196405
MICB,PNSL,CAN,110.2901854,119.6390729,189,135.7672182,14.22743391,12.31,2.225,0.10103,0.18,0.2657,1.7787,1.8293,90.66989926376532,83.58473329493678,6.213698630136986,12.309999997515646,11.348066723442487,1.2899999994015787,1.1891962688386897,MICB_PNSL_CAN,0.20174052586187785,0.00916037992261821,0.4643596294163155,NA,3,69,69.16,4.06,7.67,19,0.1,30.84,26.78,WET,7.780000000000001,6.502892250346083,0.03612717916858935
MIKL,PNM,CAN,131.6252343,126.8645936,213,192.1728421,2.790454968,14.6,1.8825,0.132725,0.37,0.935,2.5139,3.3653000000000004,75.97327406998585,78.82419922086126,7.002739726027397,14.600000001671416,15.147870390529514,0.2120000000638176,0.21995537831447404,MIKL_PNM_CAN,0.14301968843674837,0.01008355280093887,0.213038376272598,NA,3,70,53.57,12.79,18.89,12.02,2.72,46.43,33.64,DRY,21.62,17.041791871550206,0.04605889695013569
NECP,PNSL,CAN,71.95198836,79.90104056,462,70.09922466,7.411054801,9.7425,1.342,0.06792,0.26,0.8545,3.8077,5.743625,138.98156573473184,125.15481563085166,15.189041095890412,9.742500000037523,8.77325553818795,1.0299999999888814,0.9275291972492932,NECP_PNSL_CAN,0.18651326121601017,0.00943962794470298,0.4813646755032755,NA,3,71,51.99,23.54,11.33,13.02,0.12,48.01,24.47,WET,11.45,14.330226389732514,0.05511625534512505
OCOI,PNSL,CAN,73.80306997,77.96709861,429,104.6158517,5.203116433,14.175,1.629,0.07716,0.3,0.454425,4.53315,5.268325,135.49571859361504,128.259229576069,14.104109589041096,14.175000002374563,13.417948540486288,0.705000000015582,0.6673477050911643,OCOI_PNSL_CAN,0.2207225255889989,0.01045484964668333,0.42753076525356337,NA,4,73,56.73,9.65,14.5,19.03,0.09,43.27,33.62,WET,14.589999999999996,18.713021595148465,0.06237673865049488
ODOP,PNSL,CAN,121.1701584,123.6251678,259,165.0943408,13.86792463,13.625,1.75,0.08671,0.32,0.4714,4.698,6.1042,82.52857083002708,80.8896778702694,8.515068493150684,13.624999998349429,13.354428045516473,1.144500000092432,1.121771956049875,ODOP_PNSL_CAN,0.14442499895254737,0.00715605237667164,0.25278024334459187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WET,NA,NA,NA
OMPD,PNSL,CAN,108.0054018,141.2307836,335,167.6783862,10.96794855,15.525,2.036,0.13542,0.39,0.2815,2.2442,3.4617,92.58796165137731,70.80609301384632,11.013698630136986,15.524999991250438,11.872651409688846,1.0154999997416796,0.7765975852023809,OMPD_PNSL_CAN,0.18850908992220425,0.01253826176682951,0.181554084650888,NA,4,75,54.81,17.06,14.73,12.71,0.7,45.19,28.13,WET,15.419999999999998,10.9182995427351,0.02799563985316692
PACK,PNM,CAN,135.0043643,148.8447656,372,201.8315246,3.812523247,14.95,3.511,0.1473,0.25,0.2661,2.4865999999999997,2.7562,74.07167947384646,67.1840891393765,12.23013698630137,14.949999997888956,13.55986713986266,0.28239999993837234,0.2561409016723931,PACK_PNM_CAN,0.26006566663267494,0.01091075838649758,0.268736356557506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DRY,NA,NA,NA
PASV,PNM,CAN,206.5374823,227.3994664,61,130.2218826,24.34044229,6.305,3.416,0.19514,0.17,0.195,1.1095,1.6738,48.41736177201381,43.97547698027492,2.0054794520547947,6.30500000047691,5.726569400604363,1.1785000000457542,1.070382559613605,PASV_PNM_CAN,0.16539370781319918,0.00944816397619077,0.25867927635455834,NA,4,76,62.98,16.34,10.75,9.78,0.16,37.02,20.68,DRY,10.9,4.793326990849966,0.02819604112264685
PAUF,PNSL,CAN,177.2106667,205.0611042,599,98.30761733,6.016302133,5.5475,1.887,0.14086,0.22,0.3197,2.8324000000000003,3.7543,56.43001172682795,48.76595217319619,19.693150684931503,5.547499998768415,4.794064564975653,0.33949999991733004,0.2933907020773762,PAUF_PNSL_CAN,0.10648343212852436,0.00794873145184098,0.2216634189690736,NA,4,77,63.14,8.45,13.14,14.26,1.01,36.86,28.41,WET,14.15,6.900382232507262,0.03136537378412391
PERA,PNSL,CAN,104.2205162,114.6056883,239,139.6554917,14.06976969,13.4,2.143,0.1026,0.295,0.376275,3.2306,2.920175,95.95039791215312,87.25570386893266,7.857534246575343,13.399999999232396,12.185738227445382,1.3500000002878512,1.2276676575747243,PERA_PNSL_CAN,0.20562170272574412,0.00984451082578691,0.29578204701333105,NA,4,78,64.17,8.81,11.86,15.04,0.11,35.83,27.02,WET,11.98,10.453233323498132,0.03543468923219705
PERX,PNSL,CAN,93.8464221,111.4333353,421,98.79682086,5.213168747,10.5275,1.582,0.09691,0.30875,1.095075,4.106949999999999,4.463366667,106.55707246190264,89.73975312753652,13.841095890410958,10.527499999384634,8.86600231376185,0.5554999999302052,0.4678284763679689,PERX_PNSL_CAN,0.16857328863472998,0.01032644589228298,0.29065507085841785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WET,NA,NA,NA
PHI?,PNM,CAN,245.6556886,251.9749969,90.5,270.6511549,4.028753293,11.0175,2.806,0.25852,0.27,0.1507,1.3104,2.1129,40.707382177837346,39.68647732127425,2.9753424657534246,11.017499999387356,10.741190920915535,0.16399999999837173,0.15988702619565348,PHI?_PNM_CAN,0.1142249143910116,0.01052367244061451,0.1469869530417565,NA,4,80,58.62,16.61,9.43,15.22,0.12,41.38,24.77,DRY,9.55,3.7900585841816903,0.01403725401548774
PHOC,PNM,CAN,111.3237756,113.6999365,252,205.9489849,9.440256174,18.5,2.42,0.12632,0.18125,1.032925,3.057575,4.48135,89.82807083305572,87.95079670075278,8.284931506849315,18.50000000359312,18.113377301666304,0.8480000002802636,0.8302780515625002,PHOC_PNM_CAN,0.2173839314159948,0.01134708190763159,0.485245774900705,NA,4,81,55.63,8.96,17.49,17.84,0.08,44.37,35.41,DRY,17.569999999999997,15.45295498032226,0.08525768265005385
PLEV,PNSL,CAN,84.85876574,96.16366084,179,102.6791065,7.089949877,12.1,1.4765,0.06705,0.27,0.4177,4.876,4.523899999999999,117.84286411422887,103.98938551890512,5.884931506849315,12.099999994649936,10.677537190565218,0.8354999999320047,0.737279531069067,PLEV_PNSL_CAN,0.17399498886465892,0.00790136403885904,0.3851458722922412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WET,NA,NA,NA
POUA,PNSL,CAN,74.88562597,83.12157648,285,96.0408153,13.32964142,12.825,1.899,0.1251,0.386667,0.8599,5.045633333,3.150933333,133.5369754938833,120.30570669465244,9.36986301369863,12.824999999128671,11.554258156197088,1.7799999996447915,1.6036319310194105,POUA_PNSL_CAN,0.2535867164628844,0.0167054756342848,0.3111351801282562,NA,4,86,55.32,16.38,14.95,8.08,5.27,44.68,28.3,WET,20.22,24.32581389365872,0.0629115334219334
POUA,PNSL,UNDER,209.0854908,256.58311,826,136.8116061,15.2736951,6.543333333,1.38,0.14685,0.191667,0.7172999999999999,3.64755,3.188075,47.82732633306184,38.97372668060653,27.156164383561645,6.543333331095014,5.3320581428762015,0.7304999998593875,0.5952728182303192,POUA_PNSL_UNDER,0.06600171033962533,0.00702344287201013,0.20334082904520095,NA,4,85,50.65,17.5,22.29,6.23,3.33,49.35,31.85,WET,25.62,9.985068775571392,0.05209592040138048
POUB,PNSL,CAN,81.88775724,86.7280105,254,183.9199028,7.455880297,22.46,1.905,0.09035,0.43,0.687166667,4.958933333,3.903733333,122.1183768739885,115.30300236738395,8.35068493150685,22.46000000475773,21.206516987957425,0.9105000000363912,0.8596853835359224,POUB_PNSL_CAN,0.23263550794494808,0.01103339535056486,0.26814651713345106,NA,4,88,50.2,7.17,22.39,19.8,0.44,49.8,42.63,WET,22.83,26.32367544047376,0.06121784986156688
POUB,PNSL,UNDER,314.4278997,337.7860853,393.5,160.9870846,5.343702155,5.12,1.932,0.08126,0.27,0.4096,2.3596999999999997,4.842,31.80379352322468,29.60453504506747,12.936986301369863,5.119999998524304,4.765947787843941,0.16994999998723076,0.15819781771810004,POUB_PNSL_UNDER,0.06144492908687008,0.00258437626169723,0.10964642609284246,NA,4,87,47.36,7.62,24.59,19.98,0.45,52.64,45.02,WET,25.040000000000003,7.412975575284895,0.02745546509364775
PPA1,PNSL,CAN,154.1037838,195.364318,608,221.1389297,5.516915459,14.35,3.154,0.12676,0.31,0.3871,1.8319,2.4974000000000003,64.89133331715117,51.1864198251392,19.98904109589041,14.34999999656076,11.319310095306143,0.35799999993251297,0.28239115082417454,PPA1_PNSL_CAN,0.2046672652822948,0.00822562541128208,0.16511748330690065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WET,NA,NA,NA
PPRE,PNM,CAN,149.4026217,166.6857793,241,134.0515023,9.031388483,8.9725,2.647,0.25563,0.16,0.7772,3.6458,5.6309,66.93322972658385,59.99312024094187,7.923287671232877,8.972499998639583,8.042167895962796,0.6045000000826626,0.5418211752032767,PPRE_PNM_CAN,0.1771722590862674,0.01711014151500663,0.3749570015058867,NA,4,89,62.39,12.28,14.14,9.47,1.72,37.61,25.33,DRY,15.859999999999998,9.51490887021338,0.05946818043883362
PPRE,PNM,UNDER,271.0490956,334.4568915,289,163.3070801,5.055065633,6.025,3.345,0.24675,0.14,0.5454,1.858,1.725,36.89368517487132,29.899219463384867,9.501369863013698,6.0250000000368935,4.8827542278344715,0.1865000000022136,0.15114251676288154,PPRE_PNM_UNDER,0.12340937690994458,0.00910351681689949,0.2135658533098919,NA,4,90,59.47,14.66,15.45,7.44,2.98,40.53,25.87,DRY,18.43,5.510426147101831,0.03936018676501307
PROP,PNSL,CAN,71.90590896,91.03201139,844,69.04764908,6.352887056,9.6025,1.404,0.0906,0.3025,1.3188,5.237925000000001,7.496625,139.07062916849887,109.8514670532537,27.747945205479457,9.602500000161324,7.584985548016244,0.8834999999143325,0.697873963125226,PROP_PNSL_CAN,0.1952551633525724,0.01259979900266599,0.3631453456305907,NA,4,92,55.37,14.04,18.67,11.7,0.22,44.63,30.58,WET,18.88,20.7399569796543,0.06856184125505554
PROP,PNSL,UNDER,218.2159017,278.3739762,1089,77.75759966,10.51800646,3.563333333,1.786,0.11888,0.135,0.509,4.5268500000000005,6.4691,45.82617454592219,35.922898169243446,35.8027397260274,3.5633333342911,2.793278334470979,0.4819999999110972,0.3778372750060248,PROP_PNSL_UNDER,0.08184554773901703,0.00544781563001923,0.2660955419943959,NA,4,91,51.17,11.1,22.48,13.84,1.41,48.83,37.74,WET,23.9,8.585572662449184,0.06359683453666061
SABP,PNSL,CAN,178.778626,200.5373677,190,89.79156489,14.24865649,5.0225,1.193,0.08024,0.2,0.269,1.8268,2.1943,55.93509819233088,49.8660180628271,6.2465753424657535,5.0224999989652,4.477547796694251,0.7969999998769427,0.7105237619013586,SABP_PNSL_CAN,0.06673057214345074,0.00448823227895263,0.2493300903141355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WET,NA,NA,NA
SECD,PNM,CAN,162.670977,156.9126303,333,259.4602083,15.04706537,15.95,2.797,0.12554,0.15,0.4724,6.7349,6.046399999999999,61.47378090684241,63.72973278748232,10.947945205479453,15.949999999077892,16.5353297439435,0.9249999998463156,0.9589454552658788,SECD_PNM_CAN,0.17194216519643823,0.00771741845504499,0.42486488524988214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DRY,NA,NA,NA
SERA,PNM,CAN,190.5442009,204.6620256,245,263.4273578,42.77717311,13.825,2.343,0.16539,0.28,0.4362,1.8507,2.4058,52.48126131767256,48.86104283725022,8.054794520547945,13.825000002925828,12.871335413969438,2.2450000004172255,2.090137287784178,SERA_PNM_CAN,0.1229635952673068,0.00867987580932986,0.17450372441875076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DRY,NA,NA,NA
SERM,PNM,UNDER,243.1625741,279.5599609,309,77.16359018,7.805518628,3.173333333,1.861,0.1671,0.15,0.3622,1.5161,2.6115999999999997,41.124749715338695,35.77050149744816,10.158904109589042,3.1733333332894667,2.760180318082166,0.32099999997491385,0.2792073157712335,SERM_PNM_UNDER,0.07653315922024531,0.00687194567743309,0.23847000998298773,NA,4,94,57.95,10.63,12.89,18.23,0.31,42.05,31.42,DRY,13.19,4.718129147513412,0.03145419431675608
SIMA,PNSL,CAN,117.9171817,51.71352591,253,169.5059487,12.20442831,14.375,1.12,0.05684,0.3875,0.658775,3.7041,NA,84.80528329994847,193.37300684937964,8.317808219178081,14.375000000530031,32.77787497897569,1.0350000003434614,2.360006999182393,SIMA_PNSL_CAN,0.0949819172959423,0.00482033230276907,0.4990271144500119,NA,4,95,64.53,12.08,14.89,8.38,0.13,35.47,23.4,WET,15.019999999999998,29.044625628776817,0.07495387259039178
SPOM,PNM,CAN,110.921297,118.4880844,173,143.0884731,10.62071418,12.9,1.634,0.13353,0.231667,0.887,2.980675,5.476166667,90.1540125337698,84.39667204207075,5.6876712328767125,12.89999999729538,12.07619093722136,0.9574999993013064,0.8963529315020304,SPOM_PNM_CAN,0.14731165648017985,0.01203826529363428,0.36430165730151787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DRY,NA,NA,NA
STIH,PNM,CAN,134.3040671,168.373428,150,151.3942596,14.76673218,11.2725,1.587,0.13831,0.21,0.3404,2.0007,3.2288,74.45790895188757,59.39179429191167,4.931506849315069,11.272499997135233,8.991576723139472,1.0995000001753483,0.8770227199983124,STIH_PNM_CAN,0.11816470150664558,0.01029827338713557,0.28281806805672227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DRY,NA,NA,NA
STIR,PNM,CAN,191.434644,238.987051,199,82.41261424,31.96958555,4.305,2.897,0.21978,0.15,0.2907,1.5778,1.7185,52.23714888304126,41.84327124903516,6.542465753424658,4.304999999895525,3.4484133719864176,1.6700000001044746,1.337712039887885,STIR_PNM_CAN,0.1513310203141705,0.0114806805815148,0.2789551416602344,NA,5,98,55.79,14.03,18.21,11.63,0.34,44.21,30.18,DRY,18.549999999999997,7.761926816696021,0.05174617877797347
SYMG,PNSL,CAN,114.512664,120.4027412,230,80.33063381,4.804378819,7.015,1.558,0.08446,0.385,0.615975,4.3039499999999995,NA,87.32658599227068,83.05458746482427,7.561643835616438,7.015000001222571,6.671827651877414,0.4195500000768474,0.3990257008367846,SYMG_PNSL_CAN,0.13605482097595772,0.00737560345290718,0.21572620120733577,NA,5,100,58.98,14.97,10.21,15.71,0.12,41.02,26.04,WET,10.329999999999998,8.579538885116346,0.02228451658471778
SYMG,PNSL,UNDER,321.483587,197.8206697,1001,69.92268018,6.767229507,2.175,1.34,0.06703,0.205,0.396925,2.788125,NA,31.105787058422983,50.55083483017851,32.90958904109589,2.175000000233293,3.534649856662577,0.2105000000202187,0.34208910106626733,SYMG_PNSL_UNDER,0.0416817546582868,0.00208502090652609,0.24658943819599277,NA,5,99,56.23,14.99,18.04,10.67,0.07,43.77,28.78,WET,18.11,9.154756187745328,0.04465734725729428
TACV,PNSL,CAN,99.7285911,105.1360113,285,154.8286377,7.140567123,15.525,2.713,0.09244,0.205,1.50995,5.517225000000001,4.028074999999999,100.27214753262469,95.11488857481508,9.36986301369863,15.525000001729696,14.726508623025914,0.7160000000240654,0.679174246265133,TACV_PNSL_CAN,0.2720383362560107,0.00926915731791582,0.46397506621861023,NA,5,102,53.74,9.37,16.84,19.89,0.16,46.26,36.89,WET,17,16.169531057718565,0.07887576125716372
TACV,PNSL,UNDER,241.1341185,299.0541493,782,129.5292107,2.431837585,5.371666667,2.733,0.093410000000000007,0.1425,0.461275,5.689825,4.27785,41.47069714649277,33.43876024929643,25.70958904109589,5.37166666856395,4.331296221877901,0.10084999999699336,0.08131763397004302,TACV_PNSL_UNDER,0.11333941530136474,0.00387377782045389,0.23465796666172933,NA,5,101,52.05,7.96,19.61,20.22,0.16,47.95,39.99,WET,19.770000000000003,6.610842901285905,0.04639188000902389
TAPG,PNSL,CAN,72.1324154,92.62785994,322,99.54273325,2.546274263,13.8,1.391,0.07646,0.20625,0.315575,2.26175,2.9356,138.6339268489268,107.95887982813738,10.586301369863014,13.799999999722733,10.746521976701086,0.35299999991404696,0.2748929171686961,TAPG_PNSL_CAN,0.1928397922468572,0.01059995004686894,0.5234369931061207,NA,5,104,65.82,3.4,5.66,24.98,0.14,34.18,30.78,WET,5.800000000000001,6.26161503003197,0.030359345600155
TOCP,PNSL,CAN,96.6554878,116.4257315,214,70.94512805,6.258442835,7.34,1.992,0.10407,0.2125,0.452425,2.976675,2.967525,103.46024036102376,85.8916656237629,7.035616438356165,7.340000000496609,6.093595216105642,0.647499999994827,0.5375480793092549,TOCP_PNSL_CAN,0.20609279879915937,0.01076710721437174,0.40419607352359016,NA,5,105,70.31,6.52,4.75,18.31,0.11,29.69,23.16,WET,4.850000000000001,4.165745782752502,0.01960350956589412
TONR,PNSL,CAN,85.75755441,100.6719403,544.5,144.930267,10.98125484,16.9,1.67,0.09675,0.30375,0.381375,4.424825,4.962625,116.60780287869218,99.332544601805,17.9013698630137,16.900000005492224,14.396292210929005,1.2804999997434046,1.0907959861780872,TONR_PNSL_CAN,0.19473503080741592,0.01128180492851347,0.32702072296890533,NA,5,107,63.13,6.55,11.47,18.72,0.13,36.87,30.32,WET,11.6,11.52257517380938,0.03793440386439301
TOVL,PNSL,CAN,66.71821086,88.02177073,127,55.92654026,8.179652652,8.3825,1.473,0.07908,0.37,0.617775,4.256625,3.716,149.88411516285674,113.60825756021462,4.175342465753425,8.382500000989985,6.353716790309792,1.2260000000845346,0.9292760852415084,TOVL_PNSL_CAN,0.220779301634888,0.01185283582707871,0.3070493447573368,NA,5,109,67.29,7.7,9.61,15.3,0.1,32.71,25.01,WET,9.71,11.03136180909684,0.02981449137593741
TRIO,PNM,CAN,229.0811456,243.6192742,123,214.4772226,41.57822792,9.3625,4.114,0.3161,0.22,0.2752,1.9696,2.8028000000000004,43.65265405761966,41.047655333668175,4.043835616438356,9.362500001396883,8.803787110207226,1.814999999720623,1.7066887690448591,TRIO_PNM_CAN,0.17958701879304723,0.01379860394761357,0.1865802515166735,NA,5,110,69.61,17.43,7.15,5.63,0.18,30.39,12.96,DRY,7.330000000000001,3.0087931359578772,0.01367633243617216
TYNC,PNM,CAN,118.2912184,147.1011867,162,128.493836,17.62539154,10.8625,2.617,0.12465,0.23,0.3107,1.9216,2.432,84.5371290892038,67.98041691121178,5.326027397260274,10.862500001098985,8.735064541800872,1.4899999998647404,1.1981814651125449,TYNC_PNM_CAN,0.22123366682644635,0.01053755314096925,0.29556703004874685,NA,5,111,68.57,10.77,7.93,12.55,0.17,31.43,20.66,DRY,8.11,5.513211811499274,0.02397048613695336
UREC,PNM,CAN,189.9878334,201.3482774,90,236.5348526,38.6625241,12.45,2.883,0.2795,0.41,0.13390000000000002,0.4606,0.9887,52.63494941250274,49.66518774895662,2.958904109589041,12.450000000894793,11.747547863550778,2.0350000001631683,1.92018151827506,UREC_PNM_CAN,0.1517465591562454,0.01471146836079451,0.12113460426574783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DRY,NA,NA,NA
VIR2,PNSL,CAN,90.62197497,110.3313068,355,71.26059001,12.75957408,7.8635,1.632,0.1202,0.3625,0.898525,1.8908,3.0368000000000004,110.34851097993015,90.63610583464964,11.67123287671233,7.863499999154787,6.458782377985938,1.4080000004661122,1.1564781067199326,VIR2_PNSL_CAN,0.180088769919246,0.0132638910197876,0.25003063678524046,NA,5,114,62.68,6.86,10.21,20.15,0.09,37.32,30.45,WET,10.3,9.335518900968916,0.02575315558887976
VIR3,PNSL,CAN,76.05936217,74.4479852,523,101.5392485,2.479535207,13.35,1.568,0.101,0.3125,0.39475,2.22825,3.034525,131.4762537404539,134.32196953531522,17.194520547945206,13.350000000401003,13.638951843655802,0.32600000003392093,0.3330560525363955,VIR3_PNSL_CAN,0.20615476586503173,0.01327910162778584,0.4298303025130087,NA,5,115,55.66,8.87,12.6,22.77,0.09,44.34,35.47,WET,12.7,17.058890130985034,0.05458844841915211
VITT,PNM,CAN,145.9272079,158.5033023,96,149.8672425,13.27937592,10.27,2.092,0.13287,0.24,0.3713,2.0637,2.3167,68.52731676229104,63.09016818509528,3.1561643835616437,10.269999999088586,9.45514953476146,0.91000000007538,0.8377980601859043,VITT_PNM_CAN,0.14335914666671287,0.0091052245782056,0.26287570077123035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DRY,NA,NA,NA
VOCF,PNSL,CAN,83.02520523,86.80027172,215,148.6151174,6.642016418,17.9,1.541,0.08945,0.335,0.66765,4.8369,2.60205,120.4453511713409,115.20701262615816,7.068493150684931,17.900000004613055,17.12150370673978,0.7999999999518218,0.7652068693316759,VOCF_PNSL_CAN,0.18560628615503633,0.01077383666227644,0.34390153022733777,NA,5,117,60.67,13.97,13.67,11.57,0.12,39.33,25.36,WET,13.79,15.887047041147213,0.04742402101834988
